 (-2.31265633+0.00000000j)  (-0.00000159+0.00000000j)
 (-2.30965483+0.00000000j)  (-0.00000125+0.00000000j)
 (-2.30665333+0.00000000j)  (-0.00000093+0.00000000j)
 (-2.30365183+0.00000000j)  (-0.00000065+0.00000000j)
 (-2.30065033+0.00000000j)  (-0.00000041+0.00000000j)
 (-2.29764882+0.00000000j)  (-0.00000019-0.00000000j)
 (-2.29464732+0.00000000j)  (-0.00000001-0.00000000j)
 (-2.29164582+0.00000000j)  (0.00000016+0.00000000j)
 (-2.28864432+0.00000000j)  (0.00000030+0.00000000j)
 (-2.28564282+0.00000000j)  (0.00000042+0.00000000j)
 (-2.28264132+0.00000000j)  (0.00000053+0.00000000j)
 (-2.27963982+0.00000000j)  (0.00000062-0.00000000j)
 (-2.27663832+0.00000000j)  (0.00000070-0.00000000j)
 (-2.27363682+0.00000000j)  (0.00000077-0.00000000j)
 (-2.27063532+0.00000000j)  (0.00000083+0.00000000j)
 (-2.26763382+0.00000000j)  (0.00000088-0.00000000j)
 (-2.26463232+0.00000000j)  (0.00000091+0.00000000j)
 (-2.26163082+0.00000000j)  (0.00000093+0.00000000j)
 (-2.25862931+0.00000000j)  (0.00000094-0.00000000j)
 (-2.25562781+0.00000000j)  (0.00000094+0.00000000j)
 (-2.25262631+0.00000000j)  (0.00000093+0.00000000j)
 (-2.24962481+0.00000000j)  (0.00000090+0.00000000j)
 (-2.24662331+0.00000000j)  (0.00000085+0.00000000j)
 (-2.24362181+0.00000000j)  (0.00000078+0.00000000j)
 (-2.24062031+0.00000000j)  (0.00000068-0.00000000j)
 (-2.23761881+0.00000000j)  (0.00000057-0.00000000j)
 (-2.23461731+0.00000000j)  (0.00000043+0.00000000j)
 (-2.23161581+0.00000000j)  (0.00000029+0.00000000j)
 (-2.22861431+0.00000000j)  (0.00000015-0.00000000j)
 (-2.22561281+0.00000000j)  (0.00000003+0.00000000j)
 (-2.22261131+0.00000000j)  (-0.00000008+0.00000000j)
 (-2.21960980+0.00000000j)  (-0.00000015-0.00000000j)
 (-2.21660830+0.00000000j)  (-0.00000019+0.00000000j)
 (-2.21360680+0.00000000j)  (-0.00000019+0.00000000j)
 (-2.21060530+0.00000000j)  (-0.00000017+0.00000000j)
 (-2.20760380+0.00000000j)  (-0.00000013-0.00000000j)
 (-2.20460230+0.00000000j)  (-0.00000010+0.00000000j)
 (-2.20160080+0.00000000j)  (-0.00000009-0.00000000j)
 (-2.19859930+0.00000000j)  (-0.00000010-0.00000000j)
 (-2.19559780+0.00000000j)  (-0.00000013-0.00000000j)
 (-2.19259630+0.00000000j)  (-0.00000015-0.00000000j)
 (-2.18959480+0.00000000j)  (-0.00000012-0.00000000j)
 (-2.18659330+0.00000000j)  (-0.00000001+0.00000000j)
 (-2.18359180+0.00000000j)  (0.00000016+0.00000000j)
 (-2.18059030+0.00000000j)  (0.00000034+0.00000000j)
 (-2.17758879+0.00000000j)  (0.00000051-0.00000000j)
 (-2.17458729+0.00000000j)  (0.00000065+0.00000000j)
 (-2.17158579+0.00000000j)  (0.00000079-0.00000000j)
 (-2.16858429+0.00000000j)  (0.00000099-0.00000000j)
 (-2.16558279+0.00000000j)  (0.00000118-0.00000000j)
 (-2.16258129+0.00000000j)  (0.00000105+0.00000000j)
 (-2.15957979+0.00000000j)  (0.00000091-0.00000000j)
 (-2.15657829+0.00000000j)  (0.00000083-0.00000000j)
 (-2.15357679+0.00000000j)  (0.00000075+0.00000000j)
 (-2.15057529+0.00000000j)  (0.00000068-0.00000000j)
 (-2.14757379+0.00000000j)  (0.00000059-0.00000000j)
 (-2.14457229+0.00000000j)  (0.00000050+0.00000000j)
 (-2.14157079+0.00000000j)  (0.00000038-0.00000000j)
 (-2.13856928+0.00000000j)  (0.00000026+0.00000000j)
 (-2.13556778+0.00000000j)  (0.00000012+0.00000000j)
 (-2.13256628+0.00000000j)  (-0.00000004+0.00000000j)
 (-2.12956478+0.00000000j)  (-0.00000022+0.00000000j)
 (-2.12656328+0.00000000j)  (-0.00000041-0.00000000j)
 (-2.12356178+0.00000000j)  (-0.00000061-0.00000000j)
 (-2.12056028+0.00000000j)  (-0.00000082-0.00000000j)
 (-2.11755878+0.00000000j)  (-0.00000102-0.00000000j)
 (-2.11455728+0.00000000j)  (-0.00000125-0.00000000j)
 (-2.11155578+0.00000000j)  (-0.00000166-0.00000000j)
 (-2.10855428+0.00000000j)  (-0.00000210-0.00000000j)
 (-2.10555278+0.00000000j)  (-0.00000246-0.00000000j)
 (-2.10255128+0.00000000j)  (-0.00000271+0.00000000j)
 (-2.09954977+0.00000000j)  (-0.00000286+0.00000000j)
 (-2.09654827+0.00000000j)  (-0.00000293+0.00000000j)
 (-2.09354677+0.00000000j)  (-0.00000293-0.00000000j)
 (-2.09054527+0.00000000j)  (-0.00000286+0.00000000j)
 (-2.08754377+0.00000000j)  (-0.00000271+0.00000000j)
 (-2.08454227+0.00000000j)  (-0.00000251+0.00000000j)
 (-2.08154077+0.00000000j)  (-0.00000228+0.00000000j)
 (-2.07853927+0.00000000j)  (-0.00000203+0.00000000j)
 (-2.07553777+0.00000000j)  (-0.00000179-0.00000000j)
 (-2.07253627+0.00000000j)  (-0.00000155-0.00000000j)
 (-2.06953477+0.00000000j)  (-0.00000134-0.00000000j)
 (-2.06653327+0.00000000j)  (-0.00000114-0.00000000j)
 (-2.06353177+0.00000000j)  (-0.00000095-0.00000000j)
 (-2.06053027+0.00000000j)  (-0.00000077+0.00000000j)
 (-2.05752876+0.00000000j)  (-0.00000056+0.00000000j)
 (-2.05452726+0.00000000j)  (-0.00000027-0.00000000j)
 (-2.05152576+0.00000000j)  (0.00000019+0.00000000j)
 (-2.04852426+0.00000000j)  (0.00000064+0.00000000j)
 (-2.04552276+0.00000000j)  (0.00000046-0.00000000j)
 (-2.04252126+0.00000000j)  (-0.00000004-0.00000000j)
 (-2.03951976+0.00000000j)  (-0.00000041-0.00000000j)
 (-2.03651826+0.00000000j)  (-0.00000066+0.00000000j)
 (-2.03351676+0.00000000j)  (-0.00000086-0.00000000j)
 (-2.03051526+0.00000000j)  (-0.00000104-0.00000000j)
 (-2.02751376+0.00000000j)  (-0.00000122-0.00000000j)
 (-2.02451226+0.00000000j)  (-0.00000141-0.00000000j)
 (-2.02151076+0.00000000j)  (-0.00000161+0.00000000j)
 (-2.01850925+0.00000000j)  (-0.00000182-0.00000000j)
 (-2.01550775+0.00000000j)  (-0.00000202-0.00000000j)
 (-2.01250625+0.00000000j)  (-0.00000221-0.00000000j)
 (-2.00950475+0.00000000j)  (-0.00000237+0.00000000j)
 (-2.00650325+0.00000000j)  (-0.00000251-0.00000000j)
