 (-2.57078539+0.00000000j)  (0.00000171+0.00086819j)
 (-2.56778389+0.00000000j)  (0.00000171+0.00086741j)
 (-2.56478239+0.00000000j)  (0.00000170+0.00086663j)
 (-2.56178089+0.00000000j)  (0.00000170+0.00086585j)
 (-2.55877939+0.00000000j)  (0.00000170+0.00086506j)
 (-2.55577789+0.00000000j)  (0.00000169+0.00086428j)
 (-2.55277639+0.00000000j)  (0.00000169+0.00086350j)
 (-2.54977489+0.00000000j)  (0.00000169+0.00086272j)
 (-2.54677339+0.00000000j)  (0.00000168+0.00086193j)
 (-2.54377189+0.00000000j)  (0.00000168+0.00086115j)
 (-2.54077039+0.00000000j)  (0.00000168+0.00086037j)
 (-2.53776888+0.00000000j)  (0.00000168+0.00085958j)
 (-2.53476738+0.00000000j)  (0.00000167+0.00085880j)
 (-2.53176588+0.00000000j)  (0.00000167+0.00085802j)
 (-2.52876438+0.00000000j)  (0.00000167+0.00085723j)
 (-2.52576288+0.00000000j)  (0.00000166+0.00085645j)
 (-2.52276138+0.00000000j)  (0.00000166+0.00085566j)
 (-2.51975988+0.00000000j)  (0.00000166+0.00085488j)
 (-2.51675838+0.00000000j)  (0.00000166+0.00085409j)
 (-2.51375688+0.00000000j)  (0.00000165+0.00085331j)
 (-2.51075538+0.00000000j)  (0.00000165+0.00085252j)
 (-2.50775388+0.00000000j)  (0.00000165+0.00085174j)
 (-2.50475238+0.00000000j)  (0.00000164+0.00085095j)
 (-2.50175088+0.00000000j)  (0.00000164+0.00085017j)
 (-2.49874937+0.00000000j)  (0.00000164+0.00084938j)
 (-2.49574787+0.00000000j)  (0.00000163+0.00084860j)
 (-2.49274637+0.00000000j)  (0.00000163+0.00084781j)
 (-2.48974487+0.00000000j)  (0.00000163+0.00084702j)
 (-2.48674337+0.00000000j)  (0.00000162+0.00084624j)
 (-2.48374187+0.00000000j)  (0.00000162+0.00084545j)
 (-2.48074037+0.00000000j)  (0.00000162+0.00084466j)
 (-2.47773887+0.00000000j)  (0.00000162+0.00084387j)
 (-2.47473737+0.00000000j)  (0.00000161+0.00084309j)
 (-2.47173587+0.00000000j)  (0.00000161+0.00084230j)
 (-2.46873437+0.00000000j)  (0.00000161+0.00084151j)
 (-2.46573287+0.00000000j)  (0.00000160+0.00084072j)
 (-2.46273137+0.00000000j)  (0.00000160+0.00083993j)
 (-2.45972986+0.00000000j)  (0.00000160+0.00083914j)
 (-2.45672836+0.00000000j)  (0.00000160+0.00083835j)
 (-2.45372686+0.00000000j)  (0.00000159+0.00083756j)
 (-2.45072536+0.00000000j)  (0.00000159+0.00083678j)
 (-2.44772386+0.00000000j)  (0.00000159+0.00083599j)
 (-2.44472236+0.00000000j)  (0.00000159+0.00083520j)
 (-2.44172086+0.00000000j)  (0.00000159+0.00083441j)
 (-2.43871936+0.00000000j)  (0.00000158+0.00083362j)
 (-2.43571786+0.00000000j)  (0.00000158+0.00083283j)
 (-2.43271636+0.00000000j)  (0.00000158+0.00083204j)
 (-2.42971486+0.00000000j)  (0.00000157+0.00083125j)
 (-2.42671336+0.00000000j)  (0.00000157+0.00083046j)
 (-2.42371186+0.00000000j)  (0.00000156+0.00082967j)
 (-2.42071036+0.00000000j)  (0.00000156+0.00082888j)
 (-2.41770885+0.00000000j)  (0.00000156+0.00082808j)
 (-2.41470735+0.00000000j)  (0.00000155+0.00082729j)
 (-2.41170585+0.00000000j)  (0.00000155+0.00082650j)
 (-2.40870435+0.00000000j)  (0.00000155+0.00082570j)
 (-2.40570285+0.00000000j)  (0.00000155+0.00082491j)
 (-2.40270135+0.00000000j)  (0.00000154+0.00082412j)
 (-2.39969985+0.00000000j)  (0.00000154+0.00082332j)
 (-2.39669835+0.00000000j)  (0.00000154+0.00082253j)
 (-2.39369685+0.00000000j)  (0.00000153+0.00082174j)
 (-2.39069535+0.00000000j)  (0.00000153+0.00082094j)
 (-2.38769385+0.00000000j)  (0.00000153+0.00082015j)
 (-2.38469235+0.00000000j)  (0.00000153+0.00081935j)
 (-2.38169085+0.00000000j)  (0.00000152+0.00081856j)
 (-2.37868934+0.00000000j)  (0.00000152+0.00081776j)
 (-2.37568784+0.00000000j)  (0.00000152+0.00081696j)
 (-2.37268634+0.00000000j)  (0.00000151+0.00081617j)
 (-2.36968484+0.00000000j)  (0.00000151+0.00081537j)
 (-2.36668334+0.00000000j)  (0.00000151+0.00081458j)
 (-2.36368184+0.00000000j)  (0.00000151+0.00081378j)
 (-2.36068034+0.00000000j)  (0.00000150+0.00081298j)
 (-2.35767884+0.00000000j)  (0.00000150+0.00081218j)
 (-2.35467734+0.00000000j)  (0.00000150+0.00081139j)
 (-2.35167584+0.00000000j)  (0.00000150+0.00081059j)
 (-2.34867434+0.00000000j)  (0.00000149+0.00080979j)
 (-2.34567284+0.00000000j)  (0.00000149+0.00080899j)
 (-2.34267134+0.00000000j)  (0.00000149+0.00080819j)
 (-2.33966983+0.00000000j)  (0.00000148+0.00080739j)
 (-2.33666833+0.00000000j)  (0.00000148+0.00080659j)
 (-2.33366683+0.00000000j)  (0.00000148+0.00080579j)
 (-2.33066533+0.00000000j)  (0.00000148+0.00080499j)
 (-2.32766383+0.00000000j)  (0.00000147+0.00080419j)
 (-2.32466233+0.00000000j)  (0.00000147+0.00080339j)
 (-2.32166083+0.00000000j)  (0.00000147+0.00080259j)
 (-2.31865933+0.00000000j)  (0.00000146+0.00080179j)
 (-2.31565783+0.00000000j)  (0.00000146+0.00080099j)
 (-2.31265633+0.00000000j)  (0.00000146+0.00080018j)
 (-2.30965483+0.00000000j)  (0.00000146+0.00079938j)
 (-2.30665333+0.00000000j)  (0.00000145+0.00079858j)
 (-2.30365183+0.00000000j)  (0.00000145+0.00079777j)
 (-2.30065033+0.00000000j)  (0.00000145+0.00079697j)
 (-2.29764882+0.00000000j)  (0.00000145+0.00079617j)
 (-2.29464732+0.00000000j)  (0.00000144+0.00079536j)
 (-2.29164582+0.00000000j)  (0.00000144+0.00079456j)
 (-2.28864432+0.00000000j)  (0.00000144+0.00079375j)
 (-2.28564282+0.00000000j)  (0.00000144+0.00079294j)
 (-2.28264132+0.00000000j)  (0.00000144+0.00079214j)
 (-2.27963982+0.00000000j)  (0.00000143+0.00079133j)
 (-2.27663832+0.00000000j)  (0.00000143+0.00079052j)
 (-2.27363682+0.00000000j)  (0.00000143+0.00078971j)
 (-2.27063532+0.00000000j)  (0.00000143+0.00078890j)
 (-2.26763382+0.00000000j)  (0.00000143+0.00078809j)
 (-2.26463232+0.00000000j)  (0.00000143+0.00078728j)
 (-2.26163082+0.00000000j)  (0.00000143+0.00078647j)
 (-2.25862931+0.00000000j)  (0.00000144+0.00078565j)
 (-2.25562781+0.00000000j)  (0.00000144+0.00078484j)
 (-2.25262631+0.00000000j)  (0.00000145+0.00078403j)
 (-2.24962481+0.00000000j)  (0.00000145+0.00078322j)
